date, pm25, pm10, o3, no2, so2, co
2019/3/25, 23, 12, 11, 7, , 
2019/3/26, 36, 5, 18, 3, , 
2019/3/27, 17, 10, 13, 8, , 
2019/3/28, 20, 10, 15, 8, , 
2019/3/29, 26, 14, 11, 9, , 
2019/3/30, 23, 14, 12, 9, , 
2019/3/31, 31, 13, 12, 8, , 
2019/4/1, 38, 14, 13, 9, , 
2018/10/3, 5, 4, 7, 7, , 
2018/10/4, 11, 12, 8, 7, , 
2018/10/5, 23, 10, 8, 6, , 
2018/10/6, 41, 8, 9, 3, , 
2018/10/7, 26, 11, 5, 6, , 
2018/10/8, 51, 6, 5, 5, , 
2018/10/9, 25, 9, 8, 5, , 
2018/10/10, 10, 15, 6, 6, , 
2018/10/11, 19, 18, 3, 7, , 
2018/10/12, 29, 19, 7, 7, , 
2018/10/13, 43, 11, 8, 6, , 
2018/10/14, 21, 10, 8, 8, , 
2018/10/15, 19, 18, 6, 8, , 
2018/10/16, 36, 21, 6, 9, , 
2018/10/17, 37, 26, 3, 13, , 
2018/10/18, 48, 27, 3, 13, , 
2018/10/19, 53, 28, 2, 12, , 
2018/10/20, 65, 13, 6, 8, , 
2018/10/21, 43, 14, 6, 7, , 
2018/10/22, 35, 16, 2, 9, , 
2018/10/23, 36, 28, 4, 8, , 
2018/10/24, 63, 16, 9, 7, , 
2018/10/25, 41, 10, 8, 6, , 
2018/10/26, 21, 9, 12, 4, , 
2018/10/27, 13, 15, 9, 7, , 
2018/10/28, 28, 6, 13, 3, , 
2018/10/29, 7, 8, 8, 7, , 
2018/10/30, 17, 11, 6, 7, , 
2018/10/31, 38, 14, 7, 8, , 
2018/11/1, 33, 12, 9, 6, , 
2018/11/2, 36, 8, 12, 5, , 
2018/11/3, 7, 9, 10, 4, , 
2018/11/4, 15, 10, 14, 5, , 
2018/11/5, 13, 11, 8, 11, , 
2018/11/6, 24, 8, 12, 5, , 
2018/11/7, 6, 13, 6, 6, , 
2018/11/8, 24, 17, 3, 7, , 
2018/11/9, 53, 12, 1, 8, , 
2018/11/10, 49, 9, 6, 6, , 
2018/11/11, 38, 10, 4, 6, , 
2018/11/12, 34, 16, 1, 9, , 
2018/11/13, 51, 17, 4, 9, , 
2018/11/14, 52, 27, 13, 7, , 
2018/11/15, 66, 17, 5, 7, , 
2018/11/16, 47, 10, 4, 8, , 
2018/11/17, 12, 11, 5, 8, , 
2018/11/18, 22, 14, , 9, , 
2018/11/19, 30, 14, 2, 12, , 
2018/11/20, 44, 24, 1, 12, , 
2018/11/21, 56, 14, 4, 11, , 
2018/11/22, 52, 5, 10, 6, , 
2018/11/23, 13, 6, 13, 5, , 
2018/11/24, 9, 9, 4, 9, , 
2018/11/25, 26, 5, 10, 6, , 
2018/11/26, 16, 6, 10, 4, , 
2018/11/27, 32, 9, 12, 3, , 
2018/11/28, 18, 7, 9, 8, , 
2018/11/29, 16, 6, 6, 8, , 
2018/11/30, 12, 7, 5, 8, , 
2018/12/1, 14, 6, 6, 5, , 
2018/12/2, 19, 8, 4, 6, , 
2018/12/3, 20, 11, 3, 9, , 
2018/12/4, 40, 11, 4, 12, , 
2018/12/5, 32, 14, 5, 12, , 
2018/12/6, 32, 15, 2, 14, , 
2018/12/7, 51, 21, 2, 15, , 
2018/12/8, 53, 15, 1, 12, , 
2018/12/9, 42, 6, 6, 7, , 
2018/12/10, 21, 8, 10, 6, , 
2018/12/11, 22, 6, 11, 6, , 
2018/12/12, 16, 10, 11, 7, , 
2018/12/13, 18, 6, 8, 7, , 
2018/12/14, 25, 8, 14, 6, , 
2018/12/15, 15, 6, 12, 6, , 
2018/12/16, 15, 5, 14, 4, , 
2018/12/17, 16, 7, 14, 2, , 
2018/12/18, 19, 7, 14, 3, , 
2018/12/19, 16, 10, 13, 5, , 
2018/12/20, 17, 7, 13, 3, , 
2018/12/21, 20, 14, 8, 9, , 
2018/12/22, 32, 6, 10, 5, , 
2018/12/23, 11, 7, 12, 4, , 
2018/12/24, 21, 5, 6, 8, , 
2018/12/25, 16, 8, 4, 6, , 
2018/12/26, 27, 5, 10, 4, , 
2018/12/27, 12, 7, 2, 9, , 
2018/12/28, 26, 4, 7, 6, , 
2018/12/29, 10, 6, 14, 4, , 
2018/12/30, 21, 7, 15, 6, , 
2018/12/31, 46, , , , , 
2018/7/2, 7, 5, 11, 2, , 
2018/7/3, 7, 12, 9, 6, , 
2018/7/4, 26, 17, 9, 6, , 
2018/7/5, 19, 16, 12, 4, , 
2018/7/6, 19, 11, 10, 3, , 
2018/7/7, 11, 6, 11, 1, , 
2018/7/8, 11, 6, 11, 2, , 
2018/7/9, 11, 13, 9, 5, , 
2018/7/10, 22, 8, 8, 4, , 
2018/7/11, 9, 9, 8, 3, , 
2018/7/12, 14, 10, 8, 4, , 
2018/7/13, 14, 11, 11, 2, , 
2018/7/14, 11, 10, 11, 3, , 
2018/7/15, 16, 12, 10, 5, , 
2018/7/16, 22, 12, 10, 4, , 
2018/7/17, 16, 16, 15, 5, , 
2018/7/18, 42, 11, 11, 1, , 
2018/7/19, 18, 10, 11, 2, , 
2018/7/20, 14, 8, 12, 2, , 
2018/7/21, 11, 7, 9, 3, , 
2018/7/22, 16, 9, 9, 4, , 
2018/7/23, 21, 13, 11, 7, , 
2018/7/24, 29, 14, 11, 7, , 
2018/7/25, 47, 14, 12, 5, , 
2018/7/26, 29, 13, 10, 6, , 
2018/7/27, 26, 29, 11, 6, , 
2018/7/28, 32, 29, 14, 4, , 
2018/7/29, 22, 24, 16, 9, 1, 
2018/7/30, 47, 30, 20, 9, , 
2018/7/31, 57, 15, 13, 2, , 
2018/8/1, 20, 10, 11, 2, , 
2018/8/2, 8, 8, 9, 2, , 
2018/8/3, 5, 8, 11, 2, , 
2018/8/4, 12, 9, 11, 4, , 
2018/8/5, 18, 13, 11, 7, , 
2018/8/6, 26, 13, 16, 5, , 
2018/8/7, 20, 13, 15, 6, , 
2018/8/8, 23, 18, 14, 9, , 
2018/8/9, 33, 20, 14, 8, , 
2018/8/10, 30, 25, 14, 6, , 
2018/8/11, 37, 7, 8, 2, , 
2018/8/12, 7, 8, 5, 4, , 
2018/8/13, 17, 38, 7, 5, , 
